customer_id|digital_affiliation_type|digital_affiliation_date|online_banking_affiliation_type|online_banking_affiliation_date|sms_affiliation_type|sms_affiliation_date|cutoff_date
33815935|SI|2020-02-12|SI|2020-02-12|SI|2020-02-12|2020-02-28
19989821|SI|2018-12-18|SI|2018-12-18|SI|2018-12-18|2020-02-28
32396514|SI|2019-06-07|SI|2019-06-07|SI|2018-06-14|2020-02-28
87109288|NO|9999-12-31|SI|2017-12-01|NO|9999-12-31|2020-02-28
02560077|NO|9999-12-31|SI|2016-01-04|NO|9999-12-31|2020-02-28
84160003|SI|2019-02-07|SI|2019-02-07|SI|2019-02-07|2020-02-28
49834728|NO|9999-12-31|NO|9999-12-31|SI|2017-11-27|2020-02-28
55473933|SI|2018-12-04|SI|2018-12-04|SI|2018-12-04|2020-02-28
13105481|SI|2019-01-29|SI|2019-01-29|SI|2019-01-29|2020-02-28
29813044|SI|2019-10-17|SI|2019-10-17|SI|2019-10-14|2020-02-28
66354403|SI|2019-06-01|SI|2017-02-08|SI|2019-06-01|2020-02-28
81476326|NO|9999-12-31|SI|2015-01-07|NO|9999-12-31|2020-02-28
75383973|SI|2016-10-24|SI|2016-10-24|SI|2016-10-24|2020-02-28
41375344|SI|2019-05-28|SI|2019-05-28|SI|2019-05-28|2020-02-28
05434522|SI|2019-12-23|SI|2019-12-23|SI|2019-12-23|2020-02-28
51075630|SI|2019-02-08|SI|2019-02-08|SI|2019-02-08|2020-02-28
27776903|NO|9999-12-31|SI|2015-04-21|NO|9999-12-31|2020-02-28
29110555|NO|9999-12-31|SI|2014-04-05|NO|9999-12-31|2020-02-28
78888982|SI|2018-10-16|SI|2018-10-16|SI|2018-09-13|2020-02-28
80204504|NO|9999-12-31|SI|2013-04-19|NO|9999-12-31|2020-02-28
70621644|SI|2018-04-18|SI|2018-04-18|SI|2018-04-18|2020-02-28
51477802|SI|2017-08-09|SI|2017-08-09|SI|2017-08-09|2020-02-28
36375196|NO|9999-12-31|SI|2015-08-31|NO|9999-12-31|2020-02-28
00482581|NO|9999-12-31|SI|2015-02-27|NO|9999-12-31|2020-02-28
88239586|SI|2018-10-30|SI|2018-10-30|SI|2018-10-30|2020-02-28
87811784|SI|2018-01-27|SI|2018-01-27|SI|2018-01-27|2020-02-28
58465990|SI|2017-05-21|SI|2017-05-21|SI|2017-04-29|2020-02-28
17783983|SI|2018-12-10|SI|2018-12-10|SI|2018-12-10|2020-02-28
64175658|NO|9999-12-31|SI|2019-05-09|NO|9999-12-31|2020-02-28
30360588|SI|2016-10-27|SI|2016-10-27|SI|2016-10-27|2020-02-28
91456485|SI|2018-06-11|SI|2018-06-11|SI|2018-06-11|2020-02-28
54006195|NO|9999-12-31|NO|9999-12-31|SI|2016-10-25|2020-02-28
72846593|NO|9999-12-31|SI|2014-04-07|NO|9999-12-31|2020-02-28
20104525|NO|9999-12-31|SI|2018-01-08|NO|9999-12-31|2020-02-28
41460409|NO|9999-12-31|SI|2018-12-09|NO|9999-12-31|2020-02-28
72833937|SI|2018-11-06|SI|2018-11-06|SI|2018-11-06|2020-02-28
50685237|NO|9999-12-31|NO|9999-12-31|SI|2018-01-25|2020-02-28
15598223|NO|9999-12-31|SI|2012-02-08|NO|9999-12-31|2020-02-28
32847372|NO|9999-12-31|SI|2018-11-26|NO|9999-12-31|2020-02-28
76816308|SI|2020-01-24|SI|2020-01-24|SI|2020-01-06|2020-02-28
06112239|NO|9999-12-31|SI|2016-02-20|NO|9999-12-31|2020-02-28
05037431|NO|9999-12-31|NO|9999-12-31|SI|2015-12-29|2020-02-28
41407006|NO|9999-12-31|SI|2011-08-19|NO|9999-12-31|2020-02-28
12030428|NO|9999-12-31|SI|2017-06-12|NO|9999-12-31|2020-02-28
04875779|NO|9999-12-31|SI|2017-05-26|NO|9999-12-31|2020-02-28
57711361|NO|9999-12-31|SI|2016-01-28|NO|9999-12-31|2020-02-28
48652213|NO|9999-12-31|SI|2014-05-14|NO|9999-12-31|2020-02-28
13581919|NO|9999-12-31|SI|2019-02-25|NO|9999-12-31|2020-02-28
37562272|NO|9999-12-31|NO|9999-12-31|SI|2018-05-29|2020-02-28
87904165|SI|2019-04-29|SI|2019-04-27|SI|2019-04-29|2020-02-28
91835562|NO|9999-12-31|SI|2014-05-21|NO|9999-12-31|2020-02-28
82137211|SI|2019-02-26|SI|2019-02-26|SI|2019-02-26|2020-02-28
81021041|NO|9999-12-31|SI|2018-01-08|NO|9999-12-31|2020-02-28
02403291|NO|9999-12-31|NO|9999-12-31|SI|2017-05-23|2020-02-28
54880946|NO|9999-12-31|SI|2016-08-17|NO|9999-12-31|2020-02-28
64782527|NO|9999-12-31|SI|2011-12-29|NO|9999-12-31|2020-02-28
52204988|NO|9999-12-31|SI|2014-01-21|NO|9999-12-31|2020-02-28
17133000|NO|9999-12-31|SI|2017-08-08|NO|9999-12-31|2020-02-28
10475729|NO|9999-12-31|SI|2015-07-03|NO|9999-12-31|2020-02-28
03226533|SI|2019-03-18|SI|2019-03-18|SI|2019-03-18|2020-02-28
93653264|SI|2019-02-01|SI|2017-12-04|SI|2019-02-01|2020-02-28
21537977|SI|2019-07-26|SI|2019-07-26|SI|2019-07-26|2020-02-28
21019530|NO|9999-12-31|SI|2013-07-24|NO|9999-12-31|2020-02-28
61441444|SI|2019-06-06|SI|2019-06-06|SI|2019-06-06|2020-02-28
80196801|SI|2019-01-25|SI|2019-01-25|SI|2019-01-25|2020-02-28
58743890|SI|2017-06-14|SI|2017-06-14|SI|2017-06-14|2020-02-28
85057116|SI|2019-06-18|SI|2019-06-18|SI|2019-06-18|2020-02-28
94423768|SI|2017-07-18|SI|2017-07-18|SI|2017-07-18|2020-02-28
54264452|NO|9999-12-31|SI|2018-04-06|NO|9999-12-31|2020-02-28
15252584|SI|2018-05-03|SI|2018-05-03|SI|2018-05-03|2020-02-28
36961325|SI|2018-11-06|SI|2018-11-06|SI|2018-11-06|2020-02-28
90846201|NO|9999-12-31|SI|2013-08-06|NO|9999-12-31|2020-02-28
00959458|SI|2018-11-02|SI|2018-11-02|SI|2018-11-02|2020-02-28
51370524|NO|9999-12-31|SI|2013-09-13|NO|9999-12-31|2020-02-28
25430287|NO|9999-12-31|NO|9999-12-31|SI|2018-03-22|2020-02-28
26639582|NO|9999-12-31|NO|9999-12-31|SI|2017-10-07|2020-02-28
75045758|NO|9999-12-31|NO|9999-12-31|SI|2019-08-29|2020-02-28
