COD_PERSONOR|COD_PERSONDE|IDW_CANAL|COD_TRANSAC|FEC_OPER|HMS_OPER|IMP_IMPOPER
27980665||14|FN77|01/09/2019|163738|29.9
20732422||14|FN83|01/09/2019|163935|69.9
20276926||14|FN51|01/09/2019|163147|60
24647161||14|FN9A|01/09/2019|163617|3
24422595||14|FN77|01/09/2019|163907|390
26145537||14|FEM1|01/09/2019|163911|40
22539040||14|FN51|01/09/2019|163219|4988.5
23293385||14|FN51|01/09/2019|163918|140
22539040||14|FN51|01/09/2019|163441|1000
23092743||14|FN8A|01/09/2019|163357|5
26373618||14|FN77|01/09/2019|162850|141.75
24907255||14|FN51|01/09/2019|162336|150
25987205||14|FN77|01/09/2019|162819|126.17
24312920||14|FN77|01/09/2019|163041|77.9
26818012||14|FN9A|01/09/2019|005115|5
27586734||14|FN51|01/09/2019|163939|130
26818012||14|FN9A|01/09/2019|004940|6
20276926||14|FN51|01/09/2019|005619|40
25083319||15|REAI|01/09/2019|004720|39.9
26215923||14|FN77|01/09/2019|005340|50
23350797||14|FN50|01/09/2019|005012|18
26238941||14|FN83|01/09/2019|010118|135.9
27671542||14|FN9A|01/09/2019|005823|5
25157508||14|FN9A|01/09/2019|010503|5
25770983||14|FN77|01/09/2019|004348|251
23788786||14|FN51|01/09/2019|002416|65
26241066||14|FX70|01/09/2019|004252|725
26156865||14|FN77|01/09/2019|002943|5
24787351||14|FN77|01/09/2019|003035|328.6
27986717||14|FN51|01/09/2019|004143|40
21165105||14|FN9A|01/09/2019|001005|6
21551234||14|FN77|01/09/2019|000909|954.57
21132183||14|FN51|01/09/2019|001722|300
27450700||14|FN50|01/09/2019|001129|214
26215923||14|FN77|01/09/2019|001949|50
27043375||14|FN9A|01/09/2019|000740|5
23216965||15|BQ15|01/09/2019|001947|392
22173637||14|FN77|01/09/2019|001853|545
24541068||14|FN77|01/09/2019|011943|150
27550254||14|FN9A|01/09/2019|012247|5
22376048||14|FN77|01/09/2019|012127|29.9
24541068||14|FN85|01/09/2019|011805|150
21508115||14|FN51|01/09/2019|011505|2742.85
25076000||14|FN8A|01/09/2019|013447|3
27550254||14|FN9A|01/09/2019|012159|5
20571836||15|BQ13|01/09/2019|024017|1600
27008753||14|FN51|01/09/2019|024418|100
25216617||14|FEM1|01/09/2019|033323|40
25675580||14|FN8A|01/09/2019|032746|5
22642338||14|FN77|01/09/2019|025729|29.9
28230550||14|FN77|01/09/2019|023057|10
22522740||14|FN77|01/09/2019|024135|49.9
26249069||14|FN51|01/09/2019|025408|20
21455086||14|FN77|01/09/2019|015312|40
20779767||14|FN8A|01/09/2019|020609|5
25899504||14|FN77|01/09/2019|021251|103
20779767||14|FN8A|01/09/2019|020519|5
24551676||15|BQ15|01/09/2019|110848|1500
21331745||14|FN51|01/09/2019|014935|300
24525277||14|FN51|01/09/2019|110528|900
21508115||14|FN51|01/09/2019|015249|4077.1
25833670||14|FN51|01/09/2019|110529|60
22129377||14|FEM1|01/09/2019|110633|100
21589202||14|FN77|01/09/2019|110635|21
28155242||14|FN8A|01/09/2019|110933|5
20469880||14|FN51|01/09/2019|111002|200
28169960||14|FN51|01/09/2019|110630|820
23604437||14|FN77|01/09/2019|111008|15
20159700||14|FN85|01/09/2019|110636|1200
23279246||14|FN77|01/09/2019|082000|117.9
24525277||14|FN51|01/09/2019|110758|58.48
21742065||14|FN50|01/09/2019|110636|11.08
27315420||14|FN77|01/09/2019|082048|900
23563639||14|FN9A|01/09/2019|081705|5
25990638||14|FN50|01/09/2019|082452|3000
24338509||14|FN83|01/09/2019|111856|85.9
28102913||14|FN51|01/09/2019|111842|11
27315420||14|FN77|01/09/2019|081913|950
22440644||14|FN51|01/09/2019|112139|2480
24338509||14|FN77|01/09/2019|111652|89.9
26244735||14|FN50|01/09/2019|081837|82.88
27315420||14|FN77|01/09/2019|082248|200
27315420||14|FN77|01/09/2019|081751|950
22673306||14|FN51|01/09/2019|082054|364
27661099||14|FN51|01/09/2019|112058|1000
27358097||14|FN77|01/09/2019|081634|29.9
27315420||14|FN77|01/09/2019|082151|900
27219484||14|FN50|01/09/2019|112220|50
25310662||14|FN8A|01/09/2019|082105|5
26153864||14|FN51|01/09/2019|111840|2800
25536604||14|FN51|01/09/2019|082511|50
26244735||14|FEM7|01/09/2019|081929|560
25318180||15|BQ13|01/09/2019|082544|3000
27358097||14|FN77|01/09/2019|082010|69.9
25671316||14|FN51|01/09/2019|112112|30
22769824||14|FN77|01/09/2019|112004|49.89
22769824||14|FN77|01/09/2019|111808|90.31
11708366||14|FN51|01/09/2019|111907|1000
27512843||14|FN77|01/09/2019|111715|2200
24315509||14|FN77|01/09/2019|081328|29.9
23291058||14|FN51|01/09/2019|081338|1877.92
20797553||14|FN51|01/09/2019|080627|505
26802721||14|FN51|01/09/2019|081534|15
21365516||14|FN51|01/09/2019|111138|50
26757816||14|FN51|01/09/2019|111247|1100
26107513||14|FN51|01/09/2019|111157|910
24385573||14|FN77|01/09/2019|080629|20.9
21153879||14|FN51|01/09/2019|111030|200
28353836||14|FN77|01/09/2019|080640|49.9
23384787||15|MPIT|01/09/2019|081441|600
27417888||14|FN50|01/09/2019|081019|10
23384787||15|MPIT|01/09/2019|081442|600
25992299||14|FN77|01/09/2019|080940|34.89
26686109||14|FN51|01/09/2019|080605|650
23384787||15|MPIT|01/09/2019|081432|600
23384787||15|MPIT|01/09/2019|081440|600
25877531||14|FN51|01/09/2019|111550|500
23384787||15|MPIT|01/09/2019|081443|600
21991499||14|FN51|01/09/2019|080958|230
27980665||14|FN8A|01/09/2019|111633|5
23291058||14|FN51|01/09/2019|081558|2229.04
25992299||14|FN77|01/09/2019|080917|34.89
10453305||14|FN85|01/09/2019|111220|433.94
27937968||14|FN77|01/09/2019|081203|404
20876439||14|FN85|01/09/2019|075933|500
27275513||14|FN51|01/09/2019|112442|200
26541257||14|FN51|01/09/2019|112417|80
26878883||14|FN51|01/09/2019|112344|1
22260266||14|FN51|01/09/2019|075623|1800
20876439||14|FN85|01/09/2019|075902|420.86
25958815||14|FN85|01/09/2019|122200|611.82
23333178||14|FN51|01/09/2019|112508|140
24799989||14|FN51|01/09/2019|075317|180
20494458||14|FN51|01/09/2019|080056|200
